la_name,phase_type_grouping,primary_need,number_of_pupils,pupil_gender_boys,pupil_gender_girls
Hartlepool,State-funded AP school,Moderate Learning Difficulty,1,1,0
Hartlepool,State-funded AP school,SEN support but no specialist assessment of type of need,1,1,0
Hartlepool,State-funded AP school,"Social, Emotional and Mental Health",14,12,2
Hartlepool,State-funded primary,Autistic Spectrum Disorder,115,84,31
Hartlepool,State-funded primary,Hearing Impairment,24,11,13
Hartlepool,State-funded primary,Moderate Learning Difficulty,294,174,120
Hartlepool,State-funded primary,Multi- Sensory Impairment,18,12,6
Hartlepool,State-funded primary,Other Difficulty/Disability,57,34,23
Hartlepool,State-funded primary,Physical Disability,59,35,24
Hartlepool,State-funded primary,Profound & Multiple Learning Difficulty,4,2,2
Hartlepool,State-funded primary,SEN support but no specialist assessment of type of need,66,47,19
Hartlepool,State-funded primary,Severe Learning Difficulty,5,3,2
Hartlepool,State-funded primary,"Social, Emotional and Mental Health",201,151,50
Hartlepool,State-funded primary,Specific Learning Difficulty,124,78,46
Hartlepool,State-funded primary,"Speech, Language and Communications needs",570,410,160
Hartlepool,State-funded primary,Visual Impairment,14,6,8
Hartlepool,State-funded secondary,Autistic Spectrum Disorder,100,72,28
Hartlepool,State-funded secondary,Hearing Impairment,35,12,23
Hartlepool,State-funded secondary,Moderate Learning Difficulty,211,119,92
Hartlepool,State-funded secondary,Multi- Sensory Impairment,12,6,6
Hartlepool,State-funded secondary,Other Difficulty/Disability,19,11,8
Hartlepool,State-funded secondary,Physical Disability,35,23,12
Hartlepool,State-funded secondary,SEN support but no specialist assessment of type of need,13,8,5
Hartlepool,State-funded secondary,Severe Learning Difficulty,31,17,14
Hartlepool,State-funded secondary,"Social, Emotional and Mental Health",170,123,47
Hartlepool,State-funded secondary,Specific Learning Difficulty,241,134,107
Hartlepool,State-funded secondary,"Speech, Language and Communications needs",133,94,39
Hartlepool,State-funded secondary,Visual Impairment,8,6,2
Hartlepool,State-funded special school,Autistic Spectrum Disorder,84,60,24
Hartlepool,State-funded special school,Hearing Impairment,2,0,2
Hartlepool,State-funded special school,Moderate Learning Difficulty,80,45,35
Hartlepool,State-funded special school,Other Difficulty/Disability,2,2,0
Hartlepool,State-funded special school,Physical Disability,2,1,1
Hartlepool,State-funded special school,Profound & Multiple Learning Difficulty,19,8,11
Hartlepool,State-funded special school,Severe Learning Difficulty,73,41,32
Hartlepool,State-funded special school,"Social, Emotional and Mental Health",8,6,2
Hartlepool,State-funded special school,"Speech, Language and Communications needs",25,21,4
Middlesbrough,State-funded AP school,SEN support but no specialist assessment of type of need,3,2,1
Middlesbrough,State-funded AP school,"Social, Emotional and Mental Health",14,13,1
Middlesbrough,State-funded AP school,"Speech, Language and Communications needs",3,3,0
Middlesbrough,State-funded primary,Autistic Spectrum Disorder,132,98,34
Middlesbrough,State-funded primary,Hearing Impairment,50,26,24
Middlesbrough,State-funded primary,Moderate Learning Difficulty,615,358,257
Middlesbrough,State-funded primary,Multi- Sensory Impairment,14,9,5
Middlesbrough,State-funded primary,Other Difficulty/Disability,30,14,16
Middlesbrough,State-funded primary,Physical Disability,61,36,25
Middlesbrough,State-funded primary,Profound & Multiple Learning Difficulty,2,0,2
Middlesbrough,State-funded primary,SEN support but no specialist assessment of type of need,205,121,84
Middlesbrough,State-funded primary,Severe Learning Difficulty,42,31,11
Middlesbrough,State-funded primary,"Social, Emotional and Mental Health",409,306,103
Middlesbrough,State-funded primary,Specific Learning Difficulty,156,91,65
Middlesbrough,State-funded primary,"Speech, Language and Communications needs",645,463,182
Middlesbrough,State-funded primary,Visual Impairment,28,10,18
Middlesbrough,State-funded secondary,Autistic Spectrum Disorder,127,93,34
Middlesbrough,State-funded secondary,Hearing Impairment,52,28,24
Middlesbrough,State-funded secondary,Moderate Learning Difficulty,607,363,244
Middlesbrough,State-funded secondary,Multi- Sensory Impairment,4,3,1
Middlesbrough,State-funded secondary,Other Difficulty/Disability,42,27,15
Middlesbrough,State-funded secondary,Physical Disability,66,37,29
Middlesbrough,State-funded secondary,Profound & Multiple Learning Difficulty,1,1,0
Middlesbrough,State-funded secondary,SEN support but no specialist assessment of type of need,80,35,45
Middlesbrough,State-funded secondary,Severe Learning Difficulty,7,3,4
Middlesbrough,State-funded secondary,"Social, Emotional and Mental Health",368,234,134
Middlesbrough,State-funded secondary,Specific Learning Difficulty,315,159,156
Middlesbrough,State-funded secondary,"Speech, Language and Communications needs",108,74,34
Middlesbrough,State-funded secondary,Visual Impairment,29,16,13
Middlesbrough,State-funded special school,Autistic Spectrum Disorder,209,166,43
Middlesbrough,State-funded special school,Moderate Learning Difficulty,6,6,0
Middlesbrough,State-funded special school,Multi- Sensory Impairment,1,1,0
Middlesbrough,State-funded special school,Physical Disability,1,1,0
Middlesbrough,State-funded special school,Profound & Multiple Learning Difficulty,43,24,19
Middlesbrough,State-funded special school,Severe Learning Difficulty,229,146,83
Middlesbrough,State-funded special school,"Social, Emotional and Mental Health",155,139,16
Middlesbrough,State-funded special school,Specific Learning Difficulty,6,5,1
Middlesbrough,State-funded special school,"Speech, Language and Communications needs",8,5,3
Redcar and Cleveland,State-funded AP school,Moderate Learning Difficulty,4,2,2
Redcar and Cleveland,State-funded AP school,Other Difficulty/Disability,2,2,0
Redcar and Cleveland,State-funded AP school,SEN support but no specialist assessment of type of need,1,1,0
Redcar and Cleveland,State-funded AP school,"Social, Emotional and Mental Health",22,18,4
Redcar and Cleveland,State-funded AP school,Specific Learning Difficulty,1,1,0
Redcar and Cleveland,State-funded AP school,"Speech, Language and Communications needs",1,1,0
Redcar and Cleveland,State-funded AP school,Visual Impairment,1,0,1
Redcar and Cleveland,State-funded primary,Autistic Spectrum Disorder,120,89,31
Redcar and Cleveland,State-funded primary,Hearing Impairment,30,21,9
Redcar and Cleveland,State-funded primary,Moderate Learning Difficulty,508,306,202
Redcar and Cleveland,State-funded primary,Multi- Sensory Impairment,4,2,2
Redcar and Cleveland,State-funded primary,Other Difficulty/Disability,65,41,24
Redcar and Cleveland,State-funded primary,Physical Disability,65,34,31
Redcar and Cleveland,State-funded primary,SEN support but no specialist assessment of type of need,66,40,26
Redcar and Cleveland,State-funded primary,Severe Learning Difficulty,9,2,7
Redcar and Cleveland,State-funded primary,"Social, Emotional and Mental Health",381,278,103
Redcar and Cleveland,State-funded primary,Specific Learning Difficulty,190,117,73
Redcar and Cleveland,State-funded primary,"Speech, Language and Communications needs",571,412,159
Redcar and Cleveland,State-funded primary,Visual Impairment,9,7,2
Redcar and Cleveland,State-funded secondary,Autistic Spectrum Disorder,124,91,33
Redcar and Cleveland,State-funded secondary,Hearing Impairment,29,13,16
Redcar and Cleveland,State-funded secondary,Moderate Learning Difficulty,351,195,156
Redcar and Cleveland,State-funded secondary,Multi- Sensory Impairment,4,2,2
Redcar and Cleveland,State-funded secondary,Other Difficulty/Disability,51,30,21
Redcar and Cleveland,State-funded secondary,Physical Disability,44,29,15
Redcar and Cleveland,State-funded secondary,Profound & Multiple Learning Difficulty,1,1,0
Redcar and Cleveland,State-funded secondary,SEN support but no specialist assessment of type of need,18,9,9
Redcar and Cleveland,State-funded secondary,Severe Learning Difficulty,1,1,0
Redcar and Cleveland,State-funded secondary,"Social, Emotional and Mental Health",340,220,120
Redcar and Cleveland,State-funded secondary,Specific Learning Difficulty,409,199,210
Redcar and Cleveland,State-funded secondary,"Speech, Language and Communications needs",93,66,27
Redcar and Cleveland,State-funded secondary,Visual Impairment,14,8,6
Redcar and Cleveland,State-funded special school,Autistic Spectrum Disorder,165,127,38
Redcar and Cleveland,State-funded special school,Moderate Learning Difficulty,10,3,7
Redcar and Cleveland,State-funded special school,Multi- Sensory Impairment,1,1,0
Redcar and Cleveland,State-funded special school,Other Difficulty/Disability,2,2,0
Redcar and Cleveland,State-funded special school,Physical Disability,6,4,2
Redcar and Cleveland,State-funded special school,Profound & Multiple Learning Difficulty,41,28,13
Redcar and Cleveland,State-funded special school,Severe Learning Difficulty,91,49,42
Redcar and Cleveland,State-funded special school,"Social, Emotional and Mental Health",116,99,17
Redcar and Cleveland,State-funded special school,Specific Learning Difficulty,14,10,4
Redcar and Cleveland,State-funded special school,"Speech, Language and Communications needs",27,20,7
Redcar and Cleveland,State-funded special school,Visual Impairment,2,2,0
Stockton-on-Tees,State-funded AP school,Other Difficulty/Disability,8,5,3
Stockton-on-Tees,State-funded AP school,"Social, Emotional and Mental Health",13,9,4
Stockton-on-Tees,State-funded AP school,"Speech, Language and Communications needs",2,2,0
Stockton-on-Tees,State-funded primary,Autistic Spectrum Disorder,220,173,47
Stockton-on-Tees,State-funded primary,Hearing Impairment,46,25,21
Stockton-on-Tees,State-funded primary,Moderate Learning Difficulty,368,222,146
Stockton-on-Tees,State-funded primary,Multi- Sensory Impairment,21,15,6
Stockton-on-Tees,State-funded primary,Other Difficulty/Disability,116,69,47
Stockton-on-Tees,State-funded primary,Physical Disability,113,77,36
Stockton-on-Tees,State-funded primary,Profound & Multiple Learning Difficulty,4,4,0
Stockton-on-Tees,State-funded primary,SEN support but no specialist assessment of type of need,356,213,143
Stockton-on-Tees,State-funded primary,Severe Learning Difficulty,18,11,7
Stockton-on-Tees,State-funded primary,"Social, Emotional and Mental Health",399,278,121
Stockton-on-Tees,State-funded primary,Specific Learning Difficulty,168,97,71
Stockton-on-Tees,State-funded primary,"Speech, Language and Communications needs",942,670,272
Stockton-on-Tees,State-funded primary,Visual Impairment,29,17,12
Stockton-on-Tees,State-funded secondary,Autistic Spectrum Disorder,297,210,87
Stockton-on-Tees,State-funded secondary,Hearing Impairment,61,28,33
Stockton-on-Tees,State-funded secondary,Moderate Learning Difficulty,386,234,152
Stockton-on-Tees,State-funded secondary,Multi- Sensory Impairment,26,21,5
Stockton-on-Tees,State-funded secondary,Other Difficulty/Disability,67,43,24
Stockton-on-Tees,State-funded secondary,Physical Disability,66,40,26
Stockton-on-Tees,State-funded secondary,Profound & Multiple Learning Difficulty,2,2,0
Stockton-on-Tees,State-funded secondary,SEN support but no specialist assessment of type of need,261,141,120
Stockton-on-Tees,State-funded secondary,Severe Learning Difficulty,9,6,3
Stockton-on-Tees,State-funded secondary,"Social, Emotional and Mental Health",373,236,137
Stockton-on-Tees,State-funded secondary,Specific Learning Difficulty,266,149,117
Stockton-on-Tees,State-funded secondary,"Speech, Language and Communications needs",135,85,50
Stockton-on-Tees,State-funded secondary,Visual Impairment,24,10,14
Stockton-on-Tees,State-funded special school,Autistic Spectrum Disorder,128,109,19
Stockton-on-Tees,State-funded special school,Hearing Impairment,1,1,0
Stockton-on-Tees,State-funded special school,Moderate Learning Difficulty,131,86,45
