la_name,school_name,Total pupils,SEN support,EHC plan,Total Sen
City of London,The Aldgate School,271,59,8,67
City of London,City of London School for Girls,739,22,0,22
City of London,St Paul's Cathedral School,269,22,0,22
City of London,City of London School,1045,145,0,145
Camden,Thomas Coram Centre,136,23,2,25
Camden,Camden Centre for Learning (Ccfl) PRU,19,13,0,13
Camden,Camden Primary Pupil Referral Unit,19,10,9,19
Camden,Argyle Primary School,350,61,12,73
Camden,West Hampstead Primary School,389,62,11,73
Camden,Brecknock Primary School,338,65,12,77
Camden,Brookfield Primary School,394,54,4,58
Camden,Edith Neville Primary School,200,46,6,52
Camden,Fleet Primary School,228,38,5,43
Camden,Hawley Primary School,225,41,5,46
Camden,Netley Primary School & Centre for Autism,393,85,42,127
Camden,New End Primary School,355,37,3,40
Camden,Primrose Hill School,457,82,19,101
Camden,Rhyl Community Primary School,421,112,13,125
Camden,Richard Cobden Primary School,411,71,9,80
Camden,Torriano Primary School,450,60,27,87
Camden,Gospel Oak Primary School,452,56,9,65
Camden,Fitzjohn's Primary School,230,17,7,24
Camden,Eleanor Palmer Primary School,236,42,7,49
Camden,"Christ Church Primary School, Hampstead",192,12,1,13
Camden,Christ Church School,203,26,9,35
Camden,Emmanuel Church of England Primary School,229,22,5,27
Camden,Hampstead Parochial Church of England Primary School,204,17,1,18
Camden,"Holy Trinity CofE Primary School, NW3",176,17,4,21
Camden,"Holy Trinity and Saint Silas CofE Primary School, NW1",210,43,4,47
Camden,Kentish Town Church of England Primary School,234,25,25,50
Camden,Rosary Catholic Primary School,322,41,6,47
Camden,St Alban's Church of England Primary School,158,15,12,27
Camden,St Dominic's Catholic Primary School,46,11,4,15
Camden,St George the Martyr Church of England Primary School,212,40,2,42
Camden,St Josephs Catholic Primary School,176,27,4,31
Camden,St Mary's Kilburn Church of England Primary School,228,41,7,48
Camden,St Mary and St Pancras Church of England Primary School,204,33,3,36
Camden,St Michael's Church of England Primary School,0,0,0,0
Camden,St Patrick's Catholic Primary School,160,46,3,49
Camden,St Paul's Church of England Primary School,194,27,2,29
Camden,St Eugene de Mazenod Roman Catholic Primary School,198,28,6,34
Camden,Our Lady Roman Catholic Primary School,292,48,9,57
Camden,Haverstock School,982,188,28,216
Camden,Parliament Hill School,1249,167,16,183
Camden,Regent High School,1079,193,39,232
Camden,Hampstead School,1319,127,38,165
Camden,Acland Burghley School,1163,139,87,226
Camden,The Camden School for Girls,1047,115,13,128
Camden,Maria Fidelis Catholic School FCJ,832,93,24,117
Camden,William Ellis School,904,149,30,179
Camden,La Sainte Union Catholic Secondary School,817,70,8,78
Camden,Children's Hospital School at Gt Ormond Street and UCH,0,0,0,0
Camden,St Christopher's School,250,51,1,52
Camden,St Margaret's School,166,22,0,22
Camden,Sarum Hall School,185,31,1,32
Camden,The Hall School,469,100,0,100
Camden,University College School,1293,168,2,170
Camden,The Cavendish School,216,77,0,77
Camden,"St Mary's School, Hampstead",204,24,4,28
Camden,North Bridge House Nursery & Pre-Prep Schools,302,52,0,52
Camden,Hereward House School,172,35,1,36
Camden,St Anthony's School for Boys,275,75,1,76
Camden,Hampstead Hill School,388,47,0,47
Camden,North Bridge House Senior School,470,46,4,50
Camden,Trevor-Roberts School,169,17,0,17
Camden,South Hampstead High School,949,98,0,98
Camden,The Village School,68,15,0,15
Camden,Heathside Preparatory School,193,40,3,43
Camden,Devonshire House Preparatory School,561,20,1,21
Camden,Broadhurst School,120,5,0,5
Camden,College Francais Bilingue De Londres,691,83,1,84
Camden,Fine Arts College,227,80,4,84
Camden,The Mulberry House School,195,4,0,4
Camden,Southbank International School Hampstead,168,0,54,54
Camden,Frank Barnes School for Deaf Children,38,0,38,38
Camden,Camden Centre for Learning (CCfL) Special School,41,0,41,41
Camden,Royal Free Hospital Children's School,78,74,4,78
Camden,Swiss Cottage School - Development & Research Centre,261,0,261,261
Greenwich,Rachel McMillan Nursery School and Children's Centre,156,25,1,26
Greenwich,Pound Park Nursery School,171,57,0,57
Greenwich,Abbey Wood Nursery School,120,23,3,26
Greenwich,Robert Owen Nursery School,162,24,0,24
Greenwich,Newhaven Pupil Referral Unit,166,101,64,165
Greenwich,Bannockburn Primary School,886,126,25,151
Greenwich,Morden Mount Primary School,398,80,5,85
Greenwich,Cherry Orchard Primary School,226,57,14,71
Greenwich,Ealdham Primary School,398,62,3,65
Greenwich,Fossdene Primary School,319,100,9,109
Greenwich,Gallions Mount Primary School,263,32,7,39
Greenwich,Gordon Primary School,436,54,14,68
Greenwich,Haimo Primary School,373,69,8,77
Greenwich,Henwick Primary School,386,83,9,92
Greenwich,Invicta Primary School,785,121,14,135
Greenwich,Kidbrooke Park Primary School,400,105,19,124
Greenwich,Meridian Primary School,226,57,5,62
Greenwich,Plumcroft Primary School,957,238,19,257
Greenwich,Sherington Primary School,429,53,4,57
Greenwich,Thorntree Primary School,202,23,6,29
Greenwich,Wyborne Primary School,446,36,19,55
Greenwich,Montbelle Primary School,438,59,9,68
Greenwich,Boxgrove Primary School,428,120,18,138
Greenwich,De Lucy Primary School,365,114,9,123
Greenwich,Cardwell Primary School,461,78,11,89
Greenwich,Heronsgate Primary School,775,75,6,81
Greenwich,Linton Mead Primary School,357,70,4,74
Greenwich,Greenslade Primary School,222,27,7,34
Greenwich,Mulgrave Primary School,397,66,8,74
Greenwich,Charlton Manor Primary School,432,42,14,56
Greenwich,Christ Church Church of England Primary School,178,28,3,31
Greenwich,"Christ Church Church of England Primary School, Shooters Hill",209,32,7,39
Greenwich,Eltham Church of England Primary School,457,83,16,99
Greenwich,Our Lady of Grace Catholic Primary School,415,33,10,43
Greenwich,St Joseph's Catholic Primary School,161,25,4,29
Greenwich,St Margaret's Church of England Primary School,297,48,6,54
Greenwich,Saint Mary Magdalene Church of England All Through School,1708,257,30,287
Greenwich,St Patrick's Catholic Primary School,337,43,4,47
Greenwich,St Alfege with St Peter's Church of England Primary School,217,28,5,33
Greenwich,St Peter's Catholic Primary School,205,19,2,21
Greenwich,St Thomas More Catholic Primary School,184,16,1,17
